group,radius_um,coh_median,coh_q25,coh_q75,coh_n_cells,neigh_median,neigh_q25,neigh_q75,neigh_n_cells,ANE_median,ANE_q25,ANE_q75,ANE_density_median,ANE_density_q25,ANE_density_q75
"CAFs, DCIS Associated",25.0,0.9020684563209826,0.7325700242786226,0.9733474662418564,8554,1.0,0.0,2.0,13460,0.9998171070086863,0.9212375069952297,1.9586394082606335,0.0005092026712584668,0.00046918240959982493,0.000997526859389647
"CAFs, DCIS Associated",50.0,0.8065557599601768,0.6259896594931577,0.9204116669769717,12566,4.0,2.0,6.0,13460,2.8622116619235145,1.6238809119874742,4.677223817348279,0.00036442810733631695,0.00020675893930830526,0.0005955226323824983
"CAFs, DCIS Associated",100.0,0.7207723754559578,0.5685769775106997,0.8333005205729345,13375,13.0,8.0,20.0,13460,9.118289651910262,5.510336118117795,13.679233814823963,0.00029024417412903914,0.0001753994462592506,0.0004354235358678077
"CAFs, DCIS Associated",200.0,0.6407365723539058,0.5225451384519312,0.7489994858376052,13452,46.0,32.0,70.0,13460,29.414737346733624,19.172694330938207,43.300833707154815,0.00023407504242412193,0.00015257145375793875,0.0003445770862246924
Pericytes,25.0,0.9106664281622359,0.678650294881892,0.9790077678689441,1436,0.0,0.0,1.0,3345,0.9780466629446506,0.8235843387181225,1.4901602877146944,0.0004981150751429569,0.0004194480593921889,0.0007589324025249107
Pericytes,50.0,0.8119016629741658,0.5586427765313589,0.9532887365414189,2309,1.0,0.0,2.0,3345,1.0661310942860023,0.8576888024691514,1.9920129273472262,0.00013574402691167103,0.00010920433003802692,0.00025363096327221413
Pericytes,100.0,0.6667576201041451,0.4803976850114348,0.8636302834928025,3046,3.0,2.0,5.0,3345,2.165177223682572,1.0343373078362539,3.8527654756002123,6.891973156381354e-05,3.292397907330065e-05,0.00012263733400311416
Pericytes,200.0,0.5780532221324625,0.458576012432992,0.6991611283805328,3331,10.0,6.0,15.0,3345,5.521718893321458,3.3507227984838845,8.62967167417289,4.3940442811800997e-05,2.6664204815470947e-05,6.867274521023637e-05
Luminal-like Amorphous DCIS Cells,25.0,0.8404442916306591,0.6499157993761814,0.9349068826140347,2703,3.0,1.0,6.0,3161,2.7602620092001957,1.0026455891015273,5.866821094698755,0.001405789897577529,0.000510643205359339,0.0029879474478627568
Luminal-like Amorphous DCIS Cells,50.0,0.7002038767655807,0.5235966998510999,0.8398040736238808,3106,10.0,4.0,20.0,3161,6.440297380745712,2.628010605251387,14.932879991699796,0.000820004130501973,0.00033460870265894553,0.0019013133322216668
Luminal-like Amorphous DCIS Cells,100.0,0.5942290888079367,0.48109899370012466,0.6956024164374659,3159,30.0,15.0,60.0,3161,17.322032855430574,8.050902637240473,37.13584953422898,0.0005513774306683989,0.0002562681902136795,0.0011820708038578803
Luminal-like Amorphous DCIS Cells,200.0,0.5414651895256493,0.46718131608138536,0.6065751978762206,3160,85.0,47.0,180.0,3161,45.87267209552445,24.318613734697124,95.0043266632847,0.0003650431258418184,0.00019352137925097526,0.0007560204101789456
Endothelial Cells,25.0,0.9151726194961947,0.7091868373701269,0.9806736924991366,2024,0.0,0.0,1.0,4074,0.9822364338377785,0.8266270454912787,1.6627870663750361,0.0005002489079367612,0.00042099769722683534,0.0008468504989531471
Endothelial Cells,50.0,0.85708708877494,0.622043512920947,0.9583097378019125,3076,1.0,1.0,3.0,4074,1.5471553453755131,0.9217294933679991,2.5700996248721792,0.00019698993675804918,0.00011735824405048435,0.0003272352476296266
Endothelial Cells,100.0,0.7192542118328269,0.5211853972894885,0.8812504854670872,3853,4.0,2.0,7.0,4074,2.8241756871490002,1.4897246450310246,4.789726910708829,8.989630415394271e-05,4.741940822050134e-05,0.00015246174277991668
Endothelial Cells,200.0,0.6162848436874626,0.4872620433750084,0.7403414637209143,4056,12.0,8.0,18.0,4074,7.137192855067412,4.3186661092924705,10.946026482393671,5.6795976134206804e-05,3.4366852942867014e-05,8.71057110943872e-05
