group,n_axes,axial_rbar,mean_axis_degrees,kappa,rayleigh_p,local_rbar_median,local_rbar_q25,local_rbar_q75,local_rbar_n_cells
"CAFs, DCIS Associated",13460,0.1133809126899563,86.86935800641056,0.22823497740001486,7.135290247812729e-76,0.5993114513915954,0.4096316337256162,0.7442491978676977,13460
Pericytes,3345,0.0785773370410871,69.27689320700053,0.15764233817562853,1.0724061618986453e-09,0.34449957035650797,0.22453157089559933,0.4746480110670266,3345
Luminal-like Amorphous DCIS Cells,3161,0.08788752142446091,73.10063118262246,0.17645827481757098,2.4897639643894142e-11,0.49744935269013035,0.3084776993514434,0.7375983375604741,3161
Endothelial Cells,4074,0.07283230759361517,66.35260286090798,0.14605266525069793,4.1170400887926024e-10,0.41063807358726545,0.28151546401526073,0.5864113725296825,4074
Myoepithelial Cells,2120,0.12024042344690708,85.57437657689557,0.24224019856975096,4.8829097814076866e-14,0.294910969186775,0.18854614119411112,0.41934490857880075,2120
Macrophages,989,0.11555155719404503,81.51053671746652,0.23266314467463403,1.840839972165747e-06,0.4060940778825556,0.2679560172642316,0.550297351048729,989
Apocrine Cells,23,0.24237414458996212,140.7347040921787,0.4996836410341249,0.261499241160081,0.341335991252326,0.2635265254963531,0.4243371245303433,23
Dendritic Cells,983,0.07079807905026747,60.35845626938384,0.1419525063921557,0.0072470720906129054,0.3287851776516683,0.20529137594111108,0.46317801634713585,983
Basal-like Structured DCIS Cells,2569,0.06058748805065313,63.8104489496007,0.12139806365234153,8.024729637185905e-05,0.33862009280145217,0.21738034264904565,0.5231956691315031,2569
T Lymphocytes,553,0.1943454686742377,60.7390322768158,0.39626243898210095,8.490533097210322e-10,0.4836864741919542,0.3409828330977989,0.6639907701323098,553
CXCL14+ Fibroblasts,2307,0.1258408727436004,66.913708693805,0.25370085042274493,1.360540339817725e-16,0.3797281294686882,0.23977066716305306,0.5652193515143198,2307
Plasma Cells,47,0.25233956139843466,49.950341741441406,0.5215995088099695,0.049341321546495495,0.2355001184061447,0.14188295162680317,0.35143366506747503,47
11q13 Invasive Tumor Cells (Mitotic),432,0.13475190727476785,79.88709544209644,0.27198767484658587,0.00039198418862442956,0.2648930410720137,0.18736016149804588,0.35821246955629604,432
B Cells,309,0.11974066515204451,58.7889785378486,0.24121866413392506,0.011909861681388802,0.32350662681194986,0.23287929287594653,0.4328548353881038,309
Myeloid Cells,196,0.18248570010055215,68.99390425114807,0.37121700302276384,0.0014633864756729102,0.32185420540455056,0.20638574853589087,0.42521998188561855,196
11q13 Invasive Tumor Cells,13405,0.06833675717026924,81.61013839853034,0.1369938829202107,6.502632809990209e-28,0.5542819726074147,0.35771343967539987,0.7482817227385273,13405
11q13 Invasive Tumor Cells (G1/S),605,0.08734152839735995,89.93268725423717,0.17535358103894333,0.009899527377911777,0.28902930532949456,0.19543179565100485,0.4041023312552736,605
"CAFs, Invasive Associated",2493,0.07327158711209968,52.0450822264206,0.14693830919622036,1.53922330453472e-06,0.44884402236897974,0.2745298744791528,0.6416019343879275,2493
Mast Cells,33,0.17064242759379014,76.3172039629451,0.34637433846144156,0.3854814033550573,0.23745030511179208,0.18798559197989556,0.2841619203818885,33
Unassigned,3,0.421121941410457,79.29917432796634,0.9279643810799796,0.6287850081501648,0.33748021770199477,0.27993353435118,0.6651458130438754,3
