ligand,receptor,sender_celltype,receiver_celltype,anchor_source_ligand,anchor_source_receptor,structure_map_source,sender_anchor,receiver_anchor,structure_bridge,sender_expr,receiver_expr,local_contact,contact_strength_raw,contact_strength_normalized,contact_coverage,cross_edge_count,prior_confidence,LR_score
DLL4,NOTCH3,Endothelial Cells,Pericytes,recompute,recompute,recompute,0.9184503888425789,0.8818326005152037,0.9465158905362521,1.0,0.8672894033034337,0.13546509820769403,0.11102322992647283,1.0,0.03031900870023728,11379,1.0,0.6695148471220083
CXCL12,CXCR4,"CAFs, DCIS Associated",T Lymphocytes,recompute,recompute,recompute,0.8924110508951895,0.9008184599638702,0.6198216015396206,1.0,1.0,0.16843041721620092,0.1342601297358261,1.0,0.04507066528783178,11604,1.0,0.6616803690861207
TGFB1,TGFBR2,Endothelial Cells,Endothelial Cells,recompute,recompute,recompute,0.8649048900453102,0.9516417160285665,1.0,0.5918084951805068,1.0,0.05166516495327473,0.0322143099355713,0.5136270386044376,0.006808044447922373,12779,1.0,0.5413400493078342
CSF1,CSF1R,"CAFs, DCIS Associated",Macrophages,recompute,recompute,recompute,0.7181940594497765,0.9569566492419601,0.7204611100467462,1.0,1.0,0.04474340830797911,0.056449203187250996,0.2843816139651595,0.014940239043824702,10040,1.0,0.5299631021292543
JAG1,NOTCH1,11q13 Invasive Tumor Cells,Basal-like Structured DCIS Cells,recompute,recompute,recompute,0.7941469661104033,0.9232588887953476,0.7917001487310438,1.0,0.46352883193182237,0.07306194413501947,0.040928101503758994,0.9326244223906707,0.005723684210526316,30400,1.0,0.5195079467384197
TGFB1,TGFBR2,T Lymphocytes,Endothelial Cells,recompute,recompute,recompute,0.7806633527749638,0.9516417160285665,0.6198216015396206,1.0,1.0,0.03205881576061762,0.0516463926174497,0.8234534201650389,0.01174496644295302,4768,1.0,0.4952889073038039
JAG1,NOTCH1,11q13 Invasive Tumor Cells,11q13 Invasive Tumor Cells,recompute,recompute,recompute,0.7941469661104033,0.6655462707198134,1.0,1.0,1.0,0.02533531363157139,0.017828822000715998,0.7533906596739692,0.0008519857640495049,423716,1.0,0.48730507700623305
DLL4,NOTCH3,Endothelial Cells,Endothelial Cells,recompute,recompute,recompute,0.9184503888425789,0.8818326005152037,1.0,1.0,0.19937237225527835,0.07250293557185424,0.03089704463051368,1.0,0.00688629783238125,12779,1.0,0.4765155601675771
TGFB1,TGFBR2,"CAFs, Invasive Associated",Endothelial Cells,recompute,recompute,recompute,0.6618992459738668,0.9516417160285665,0.6198216015396206,0.9188457246466148,1.0,0.02910749473367196,0.06349333333333332,1.0,0.01856,3125,1.0,0.4675161430815234
DLL4,NOTCH3,Endothelial Cells,11q13 Invasive Tumor Cells,recompute,recompute,recompute,0.9184503888425789,0.6580560501976399,0.6198216015396206,1.0,1.0,0.02118897667716681,0.02121161641401526,1.0,0.0026653339996668335,6003,1.0,0.44663139943507835
